Time stamp: |  Parked cars: |  new cars in: |  cars out: |  length queue: |  cars in queue: |  last wait time: | 
0           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
1           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
2           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
3           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
4           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
5           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
6           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
7           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
8           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
9           |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
10          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
11          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
12          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
13          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
14          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
15          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
16          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
17          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
18          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
19          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
20          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
21          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
22          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
23          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
24          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
25          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
26          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
27          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
28          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
29          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
30          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
31          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
32          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
33          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
34          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
35          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
36          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
37          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
38          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
39          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
40          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
41          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
42          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
43          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
